Human_Evaluation_Case_ID,Comparison_Type_TestCase,Image_1_Path_TestCase,Image_2_Path_TestCase,LIME_Image1_Path,LIME_Image2_Path,GradCAM_Image1_Path,GradCAM_Image2_Path,IG_Image1_Path,IG_Image2_Path
HE_031,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\59__F_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\530__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_031_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_031_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_031_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_031_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_031_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_031_Image2_IG.png
HE_032,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\314__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\283__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_032_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_032_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_032_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_032_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_032_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_032_Image2_IG.png
HE_033,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\131__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\253__F_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_033_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_033_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_033_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_033_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_033_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_033_Image2_IG.png
HE_034,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\421__F_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\458__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_034_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_034_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_034_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_034_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_034_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_034_Image2_IG.png
HE_035,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\157__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\291__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_035_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_035_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_035_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_035_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_035_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_035_Image2_IG.png
HE_036,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\209__F_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\579__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_036_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_036_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_036_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_036_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_036_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_036_Image2_IG.png
HE_037,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\148__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\161__F_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_037_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_037_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_037_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_037_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_037_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_037_Image2_IG.png
HE_038,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\242__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\244__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_038_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_038_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_038_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_038_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_038_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_038_Image2_IG.png
HE_039,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\249__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\267__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_039_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_039_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_039_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_039_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_039_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_039_Image2_IG.png
HE_040,D_Different_Person_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\21__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\165__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_040_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_040_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_040_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_040_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_040_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_040_Image2_IG.png
HE_041,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\253__F_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\322__M_Left_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_041_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_041_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_041_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_041_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_041_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_041_Image2_IG.png
HE_042,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\245__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\474__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_042_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_042_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_042_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_042_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_042_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_042_Image2_IG.png
HE_043,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\428__M_Left_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\327__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_043_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_043_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_043_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_043_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_043_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_043_Image2_IG.png
HE_044,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\254__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\97__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_044_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_044_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_044_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_044_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_044_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_044_Image2_IG.png
HE_045,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\472__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\319__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_045_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_045_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_045_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_045_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_045_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_045_Image2_IG.png
HE_046,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\77__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\324__M_Left_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_046_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_046_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_046_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_046_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_046_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_046_Image2_IG.png
HE_047,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\354__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\190__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_047_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_047_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_047_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_047_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_047_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_047_Image2_IG.png
HE_048,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\289__F_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\245__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_048_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_048_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_048_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_048_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_048_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_048_Image2_IG.png
HE_049,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\534__F_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\49__M_Left_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_049_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_049_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_049_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_049_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_049_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_049_Image2_IG.png
HE_050,E_Different_Person_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\70__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\536__F_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_050_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_050_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_050_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_050_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_050_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_050_Image2_IG.png
HE_051,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\317__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\317__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_051_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_051_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_051_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_051_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_051_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_051_Image2_IG.png
HE_052,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\466__F_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\466__F_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_052_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_052_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_052_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_052_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_052_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_052_Image2_IG.png
HE_053,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\287__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\287__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_053_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_053_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_053_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_053_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_053_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_053_Image2_IG.png
HE_054,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\331__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\331__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_054_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_054_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_054_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_054_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_054_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_054_Image2_IG.png
HE_055,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\102__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\102__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_055_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_055_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_055_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_055_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_055_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_055_Image2_IG.png
HE_056,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\542__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\542__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_056_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_056_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_056_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_056_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_056_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_056_Image2_IG.png
HE_057,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\366__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\366__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_057_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_057_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_057_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_057_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_057_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_057_Image2_IG.png
HE_058,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\599__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\599__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_058_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_058_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_058_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_058_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_058_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_058_Image2_IG.png
HE_059,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\569__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\569__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_059_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_059_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_059_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_059_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_059_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_059_Image2_IG.png
HE_060,F_Same_Person_Different_Finger,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\570__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\570__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_060_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_060_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_060_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_060_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_060_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_060_Image2_IG.png
